fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
1_11_7,1,11,7,97.9,False,False,no_effect
0_21662_7,0,21662,7,97.9,False,False,no_effect
1_656_14,1,656,14,97.9,False,False,no_effect
0_125697_17,0,125697,17,97.9,False,False,no_effect
0_47473_24,0,47473,24,97.9,False,False,no_effect
1_660_27,1,660,27,97.9,False,False,no_effect
1_585_8,1,585,8,97.9,False,False,no_effect
0_85256_4,0,85256,4,97.9,False,False,no_effect
0_106254_1,0,106254,1,97.9,False,False,no_effect
1_569_31,1,569,31,98.0,False,False,no_effect
0_136026_7,0,136026,7,97.9,False,False,no_effect
0_30756_11,0,30756,11,97.9,False,False,no_effect
0_1395_28,0,1395,28,97.9,False,False,no_effect
1_125_2,1,125,2,97.9,False,False,no_effect
0_54061_10,0,54061,10,97.9,False,False,no_effect
0_147455_16,0,147455,16,97.9,False,False,no_effect
0_22180_7,0,22180,7,97.9,False,False,no_effect
1_372_10,1,372,10,97.9,False,False,no_effect
1_673_0,1,673,0,97.9,False,False,no_effect
0_78800_2,0,78800,2,97.9,False,False,no_effect
1_674_28,1,674,28,97.9,False,False,no_effect
0_128566_20,0,128566,20,97.9,False,False,no_effect
1_620_13,1,620,13,97.9,False,False,no_effect
0_11727_15,0,11727,15,97.9,False,False,no_effect
0_49302_9,0,49302,9,97.9,False,False,no_effect
1_220_8,1,220,8,97.9,False,False,no_effect
0_94126_17,0,94126,17,97.9,False,False,no_effect
0_110628_4,0,110628,4,97.9,False,False,no_effect
1_266_24,1,266,24,97.9,False,False,no_effect
0_104873_29,0,104873,29,97.9,False,False,no_effect
0_66631_27,0,66631,27,97.9,False,False,no_effect
0_140484_13,0,140484,13,97.9,False,False,no_effect
0_70621_12,0,70621,12,97.9,False,False,no_effect
1_577_10,1,577,10,97.9,False,False,no_effect
1_157_20,1,157,20,97.9,False,False,no_effect
1_388_1,1,388,1,97.9,False,False,no_effect
0_20322_17,0,20322,17,97.9,False,False,no_effect
0_139321_7,0,139321,7,97.9,False,False,no_effect
1_67_21,1,67,21,97.9,False,False,no_effect
0_95110_21,0,95110,21,97.9,False,False,no_effect
1_149_14,1,149,14,97.9,False,False,no_effect
1_10_6,1,10,6,97.9,False,False,no_effect
1_227_24,1,227,24,97.9,False,False,no_effect
0_32375_11,0,32375,11,97.9,False,False,no_effect
1_602_31,1,602,31,98.0,False,False,no_effect
0_138663_22,0,138663,22,97.9,False,False,no_effect
1_564_17,1,564,17,97.9,False,False,no_effect
0_12573_10,0,12573,10,97.9,False,False,no_effect
1_398_11,1,398,11,97.9,False,False,no_effect
1_759_25,1,759,25,97.9,False,False,no_effect
1_606_8,1,606,8,97.9,False,False,no_effect
1_9_9,1,9,9,97.9,False,False,no_effect
0_37400_24,0,37400,24,97.9,False,False,no_effect
1_54_23,1,54,23,97.9,False,False,no_effect
0_109640_29,0,109640,29,97.9,False,False,no_effect
0_115070_22,0,115070,22,97.9,False,False,no_effect
1_514_18,1,514,18,97.9,False,False,no_effect
1_438_14,1,438,14,97.9,False,False,no_effect
1_650_5,1,650,5,97.9,False,False,no_effect
1_416_20,1,416,20,97.9,False,False,no_effect
0_20833_4,0,20833,4,97.9,False,False,no_effect
0_24545_10,0,24545,10,97.9,False,False,no_effect
0_22173_18,0,22173,18,97.9,False,False,no_effect
1_10_27,1,10,27,97.9,False,False,no_effect
0_125738_31,0,125738,31,97.9,False,False,no_effect
0_106291_0,0,106291,0,97.9,False,False,no_effect
0_1911_27,0,1911,27,97.9,False,False,no_effect
1_250_2,1,250,2,97.9,False,False,no_effect
1_172_14,1,172,14,97.9,False,False,no_effect
0_19692_23,0,19692,23,97.9,False,False,no_effect
0_134659_22,0,134659,22,97.9,False,False,no_effect
0_110814_31,0,110814,31,97.9,False,False,no_effect
1_174_23,1,174,23,97.9,False,False,no_effect
0_88593_15,0,88593,15,97.9,False,False,no_effect
0_76038_19,0,76038,19,97.9,False,False,no_effect
1_300_16,1,300,16,97.9,False,False,no_effect
0_585_25,0,585,25,97.9,False,False,no_effect
0_79906_2,0,79906,2,97.9,False,False,no_effect
1_632_31,1,632,31,97.9,False,False,no_effect
0_93256_0,0,93256,0,97.9,False,False,no_effect
1_336_19,1,336,19,97.9,False,False,no_effect
1_109_0,1,109,0,97.9,False,False,no_effect
1_739_11,1,739,11,97.9,False,False,no_effect
1_363_0,1,363,0,97.9,False,False,no_effect
0_112932_31,0,112932,31,97.9,False,False,no_effect
0_22215_9,0,22215,9,97.9,False,False,no_effect
1_126_31,1,126,31,98.1,False,False,no_effect
0_40797_16,0,40797,16,97.9,False,False,no_effect
0_123390_25,0,123390,25,97.9,False,False,no_effect
1_306_23,1,306,23,97.9,False,False,no_effect
1_186_17,1,186,17,97.9,False,False,no_effect
0_114969_28,0,114969,28,97.9,False,False,no_effect
0_36667_22,0,36667,22,97.9,False,False,no_effect
1_5_22,1,5,22,97.9,False,False,no_effect
0_29010_12,0,29010,12,97.9,False,False,no_effect
1_41_8,1,41,8,97.9,False,False,no_effect
1_431_21,1,431,21,97.9,False,False,no_effect
0_42024_12,0,42024,12,97.9,False,False,no_effect
1_681_17,1,681,17,97.9,False,False,no_effect
0_110387_31,0,110387,31,97.9,False,False,no_effect
1_698_8,1,698,8,97.9,False,False,no_effect
1_409_24,1,409,24,97.8,False,False,sdc_minor
0_28765_6,0,28765,6,97.9,False,False,no_effect
0_33062_9,0,33062,9,97.9,False,False,no_effect
1_512_0,1,512,0,97.9,False,False,no_effect
0_13641_21,0,13641,21,97.9,False,False,no_effect
1_611_0,1,611,0,97.9,False,False,no_effect
1_491_18,1,491,18,97.9,False,False,no_effect
1_497_5,1,497,5,97.9,False,False,no_effect
1_253_9,1,253,9,97.9,False,False,no_effect
0_65396_17,0,65396,17,97.9,False,False,no_effect
0_69082_15,0,69082,15,97.9,False,False,no_effect
1_203_30,1,203,30,97.9,False,False,no_effect
0_131683_11,0,131683,11,97.9,False,False,no_effect
0_38987_14,0,38987,14,97.9,False,False,no_effect
0_34680_25,0,34680,25,97.9,False,False,no_effect
0_71791_12,0,71791,12,97.9,False,False,no_effect
0_111752_1,0,111752,1,97.9,False,False,no_effect
0_23838_3,0,23838,3,97.9,False,False,no_effect
1_417_19,1,417,19,97.9,False,False,no_effect
0_58137_21,0,58137,21,97.9,False,False,no_effect
1_490_3,1,490,3,97.9,False,False,no_effect
1_659_3,1,659,3,97.9,False,False,no_effect
1_112_17,1,112,17,97.9,False,False,no_effect
1_287_22,1,287,22,97.9,False,False,no_effect
1_252_20,1,252,20,97.9,False,False,no_effect
0_47645_2,0,47645,2,97.9,False,False,no_effect
0_13665_20,0,13665,20,97.9,False,False,no_effect
0_74794_30,0,74794,30,12.0,False,False,catastrophic_low_acc
1_621_6,1,621,6,97.9,False,False,no_effect
1_189_16,1,189,16,97.9,False,False,no_effect
1_372_21,1,372,21,97.9,False,False,no_effect
1_114_6,1,114,6,97.9,False,False,no_effect
0_144642_8,0,144642,8,97.9,False,False,no_effect
1_369_23,1,369,23,97.9,False,False,no_effect
1_243_17,1,243,17,97.9,False,False,no_effect
0_100676_5,0,100676,5,97.9,False,False,no_effect
0_34205_7,0,34205,7,97.9,False,False,no_effect
0_49921_12,0,49921,12,97.9,False,False,no_effect
1_101_4,1,101,4,97.9,False,False,no_effect
1_308_30,1,308,30,97.9,False,False,no_effect
0_139868_9,0,139868,9,97.9,False,False,no_effect
0_33510_12,0,33510,12,97.9,False,False,no_effect
1_563_16,1,563,16,97.9,False,False,no_effect
1_374_28,1,374,28,97.9,False,False,no_effect
0_114327_4,0,114327,4,97.9,False,False,no_effect
1_429_1,1,429,1,97.9,False,False,no_effect
0_71866_8,0,71866,8,97.9,False,False,no_effect
1_46_3,1,46,3,97.9,False,False,no_effect
0_104200_31,0,104200,31,97.9,False,False,no_effect
0_43389_28,0,43389,28,97.9,False,False,no_effect
1_575_24,1,575,24,97.9,False,False,no_effect
1_621_17,1,621,17,97.9,False,False,no_effect
0_48251_0,0,48251,0,97.9,False,False,no_effect
0_57096_0,0,57096,0,97.9,False,False,no_effect
1_515_16,1,515,16,97.9,False,False,no_effect
1_225_18,1,225,18,97.9,False,False,no_effect
1_565_7,1,565,7,97.9,False,False,no_effect
0_58701_2,0,58701,2,97.9,False,False,no_effect
0_76504_2,0,76504,2,97.9,False,False,no_effect
0_72812_8,0,72812,8,97.9,False,False,no_effect
1_52_15,1,52,15,97.9,False,False,no_effect
0_140140_7,0,140140,7,97.9,False,False,no_effect
0_91085_23,0,91085,23,97.9,False,False,no_effect
