fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
0_44_26,0,44,26,98.0,False,False,no_effect
0_9_25,0,9,25,97.9,False,False,no_effect
1_47_18,1,47,18,97.9,False,False,no_effect
0_2_19,0,2,19,97.9,False,False,no_effect
0_85_18,0,85,18,97.9,False,False,no_effect
1_164_31,1,164,31,98.1,False,False,no_effect
0_129_29,0,129,29,97.9,False,False,no_effect
1_49_7,1,49,7,97.9,False,False,no_effect
1_41_29,1,41,29,11.9,False,False,catastrophic_low_acc
1_183_11,1,183,11,97.9,False,False,no_effect
0_188_21,0,188,21,97.9,False,False,no_effect
1_145_12,1,145,12,97.9,False,False,no_effect
0_156_25,0,156,25,97.9,False,False,no_effect
1_131_20,1,131,20,97.9,False,False,no_effect
0_102_6,0,102,6,97.9,False,False,no_effect
0_35_30,0,35,30,11.9,True,False,catastrophic_nan_inf
1_63_0,1,63,0,97.9,False,False,no_effect
1_98_15,1,98,15,97.9,False,False,no_effect
1_68_21,1,68,21,97.9,False,False,no_effect
1_149_0,1,149,0,97.9,False,False,no_effect
1_167_23,1,167,23,97.9,False,False,no_effect
0_15_7,0,15,7,97.9,False,False,no_effect
1_78_10,1,78,10,97.9,False,False,no_effect
1_175_19,1,175,19,97.9,False,False,no_effect
0_163_18,0,163,18,97.9,False,False,no_effect
1_157_14,1,157,14,97.9,False,False,no_effect
0_34_30,0,34,30,11.9,True,False,catastrophic_nan_inf
0_116_23,0,116,23,97.8,False,False,sdc_minor
1_179_30,1,179,30,11.9,False,False,catastrophic_low_acc
0_63_5,0,63,5,97.9,False,False,no_effect
1_135_23,1,135,23,97.9,False,False,no_effect
0_144_7,0,144,7,97.9,False,False,no_effect
0_140_12,0,140,12,97.9,False,False,no_effect
0_42_20,0,42,20,97.9,False,False,no_effect
1_29_13,1,29,13,97.9,False,False,no_effect
1_23_28,1,23,28,97.9,False,False,no_effect
0_116_8,0,116,8,97.9,False,False,no_effect
1_116_3,1,116,3,97.9,False,False,no_effect
1_172_19,1,172,19,97.9,False,False,no_effect
0_101_16,0,101,16,97.9,False,False,no_effect
0_190_13,0,190,13,97.9,False,False,no_effect
0_11_27,0,11,27,97.9,False,False,no_effect
1_179_4,1,179,4,97.9,False,False,no_effect
0_17_30,0,17,30,11.9,True,False,catastrophic_nan_inf
0_73_26,0,73,26,97.9,False,False,no_effect
0_34_26,0,34,26,98.0,False,False,no_effect
