fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
0_1639_17,0,1639,17,97.9,False,False,no_effect
0_14628_8,0,14628,8,97.9,False,False,no_effect
0_35741_5,0,35741,5,97.9,False,False,no_effect
1_8_1,1,8,1,97.9,False,False,no_effect
0_14328_14,0,14328,14,97.9,False,False,no_effect
0_36781_12,0,36781,12,97.9,False,False,no_effect
1_56_28,1,56,28,97.9,False,False,no_effect
1_1_10,1,1,10,97.9,False,False,no_effect
1_87_17,1,87,17,97.9,False,False,no_effect
0_14110_21,0,14110,21,97.9,False,False,no_effect
0_6078_24,0,6078,24,97.9,False,False,no_effect
0_23526_22,0,23526,22,97.9,False,False,no_effect
1_11_29,1,11,29,97.9,False,False,no_effect
0_24807_5,0,24807,5,97.9,False,False,no_effect
1_160_23,1,160,23,97.9,False,False,no_effect
0_4558_2,0,4558,2,97.9,False,False,no_effect
0_18965_5,0,18965,5,97.9,False,False,no_effect
0_6619_24,0,6619,24,97.9,False,False,no_effect
1_116_23,1,116,23,97.9,False,False,no_effect
0_24260_22,0,24260,22,97.9,False,False,no_effect
0_17496_4,0,17496,4,97.9,False,False,no_effect
0_35005_15,0,35005,15,97.9,False,False,no_effect
0_30294_24,0,30294,24,97.9,False,False,no_effect
1_163_14,1,163,14,97.9,False,False,no_effect
1_14_14,1,14,14,97.9,False,False,no_effect
0_20673_25,0,20673,25,97.9,False,False,no_effect
1_16_13,1,16,13,97.9,False,False,no_effect
1_54_31,1,54,31,97.9,False,False,no_effect
1_164_29,1,164,29,98.1,False,False,no_effect
0_17359_8,0,17359,8,97.9,False,False,no_effect
0_36789_16,0,36789,16,97.9,False,False,no_effect
1_149_25,1,149,25,98.0,False,False,no_effect
1_56_8,1,56,8,97.9,False,False,no_effect
1_23_3,1,23,3,97.9,False,False,no_effect
0_10016_10,0,10016,10,97.9,False,False,no_effect
1_152_4,1,152,4,97.9,False,False,no_effect
1_97_29,1,97,29,97.9,False,False,no_effect
1_141_0,1,141,0,97.9,False,False,no_effect
0_35190_17,0,35190,17,97.9,False,False,no_effect
1_28_18,1,28,18,97.9,False,False,no_effect
1_40_29,1,40,29,97.9,False,False,no_effect
0_17261_11,0,17261,11,97.9,False,False,no_effect
0_19558_12,0,19558,12,97.9,False,False,no_effect
0_24504_10,0,24504,10,97.9,False,False,no_effect
0_21243_31,0,21243,31,97.9,False,False,no_effect
0_7331_23,0,7331,23,97.9,False,False,no_effect
1_61_3,1,61,3,97.9,False,False,no_effect
0_5161_5,0,5161,5,97.9,False,False,no_effect
1_17_8,1,17,8,97.9,False,False,no_effect
0_31148_10,0,31148,10,97.9,False,False,no_effect
1_135_27,1,135,27,97.9,False,False,no_effect
0_35343_12,0,35343,12,97.9,False,False,no_effect
1_102_23,1,102,23,98.0,False,False,no_effect
1_132_28,1,132,28,97.9,False,False,no_effect
0_16246_14,0,16246,14,97.9,False,False,no_effect
0_22156_1,0,22156,1,97.9,False,False,no_effect
0_14432_0,0,14432,0,97.9,False,False,no_effect
0_3858_14,0,3858,14,97.9,False,False,no_effect
0_2058_21,0,2058,21,97.9,False,False,no_effect
0_33695_15,0,33695,15,97.9,False,False,no_effect
1_171_31,1,171,31,97.9,False,False,no_effect
0_35339_8,0,35339,8,97.9,False,False,no_effect
1_62_30,1,62,30,11.9,False,False,catastrophic_low_acc
1_48_6,1,48,6,97.9,False,False,no_effect
0_28249_22,0,28249,22,97.9,False,False,no_effect
1_105_29,1,105,29,97.9,False,False,no_effect
0_6449_3,0,6449,3,97.9,False,False,no_effect
1_186_21,1,186,21,97.9,False,False,no_effect
0_16295_12,0,16295,12,97.9,False,False,no_effect
0_35146_28,0,35146,28,97.9,False,False,no_effect
0_27648_11,0,27648,11,97.9,False,False,no_effect
1_118_15,1,118,15,97.9,False,False,no_effect
0_29041_6,0,29041,6,97.9,False,False,no_effect
