fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
8_111388_26,8,111388,26,97.9,False,False,no_effect
1_118_16,1,118,16,97.9,False,False,no_effect
5_65_5,5,65,5,97.9,False,False,no_effect
8_4264_7,8,4264,7,97.9,False,False,no_effect
11_169_29,11,169,29,97.9,False,False,no_effect
2_103045_11,2,103045,11,97.9,False,False,no_effect
6_11_5,6,11,5,97.9,False,False,no_effect
6_180_19,6,180,19,97.9,False,False,no_effect
5_150_29,5,150,29,97.9,False,False,no_effect
10_117951_16,10,117951,16,97.9,False,False,no_effect
5_47_13,5,47,13,97.9,False,False,no_effect
2_10252_16,2,10252,16,97.9,False,False,no_effect
10_27873_27,10,27873,27,97.9,False,False,no_effect
8_4696_0,8,4696,0,97.9,False,False,no_effect
6_29_0,6,29,0,97.9,False,False,no_effect
2_85957_30,2,85957,30,11.9,False,False,catastrophic_low_acc
7_177_25,7,177,25,97.9,False,False,no_effect
10_127591_19,10,127591,19,97.9,False,False,no_effect
9_631_23,9,631,23,97.9,False,False,no_effect
11_172_25,11,172,25,97.8,False,False,sdc_minor
4_5743_8,4,5743,8,97.9,False,False,no_effect
2_1818_12,2,1818,12,97.9,False,False,no_effect
1_4_12,1,4,12,97.9,False,False,no_effect
0_53_30,0,53,30,11.9,True,False,catastrophic_nan_inf
10_38051_15,10,38051,15,97.9,False,False,no_effect
6_160_12,6,160,12,97.9,False,False,no_effect
1_77_29,1,77,29,97.9,False,False,no_effect
2_62126_27,2,62126,27,97.9,False,False,no_effect
0_29_10,0,29,10,97.9,False,False,no_effect
2_96833_28,2,96833,28,97.9,False,False,no_effect
7_120_1,7,120,1,97.9,False,False,no_effect
7_149_15,7,149,15,97.9,False,False,no_effect
3_301_25,3,301,25,97.9,False,False,no_effect
0_85_0,0,85,0,97.9,False,False,no_effect
1_161_27,1,161,27,97.9,False,False,no_effect
6_126_18,6,126,18,97.9,False,False,no_effect
0_124_25,0,124,25,97.9,False,False,no_effect
