fault_id,param_idx,elem_idx,bit_idx,accuracy,has_nan,has_inf,failure_type
2_93047_19,2,93047,19,97.9,False,False,no_effect
0_190_7,0,190,7,97.9,False,False,no_effect
3_131_9,3,131,9,97.9,False,False,no_effect
11_58_19,11,58,19,97.9,False,False,no_effect
2_27504_8,2,27504,8,97.9,False,False,no_effect
1_108_7,1,108,7,97.9,False,False,no_effect
1_4_30,1,4,30,11.9,False,False,catastrophic_low_acc
6_10_12,6,10,12,97.9,False,False,no_effect
1_8_3,1,8,3,97.9,False,False,no_effect
7_30_16,7,30,16,97.9,False,False,no_effect
0_16_19,0,16,19,97.9,False,False,no_effect
10_2692_6,10,2692,6,97.9,False,False,no_effect
1_154_13,1,154,13,97.9,False,False,no_effect
9_204_11,9,204,11,97.9,False,False,no_effect
10_92152_1,10,92152,1,97.9,False,False,no_effect
1_37_17,1,37,17,97.9,False,False,no_effect
9_356_22,9,356,22,97.9,False,False,no_effect
2_65619_15,2,65619,15,97.9,False,False,no_effect
8_17914_6,8,17914,6,97.9,False,False,no_effect
9_14_13,9,14,13,97.9,False,False,no_effect
11_49_18,11,49,18,97.9,False,False,no_effect
2_98830_0,2,98830,0,97.9,False,False,no_effect
11_25_13,11,25,13,97.9,False,False,no_effect
8_124443_23,8,124443,23,97.9,False,False,no_effect
11_150_11,11,150,11,97.9,False,False,no_effect
7_172_6,7,172,6,97.9,False,False,no_effect
2_109411_22,2,109411,22,97.9,False,False,no_effect
6_108_13,6,108,13,97.9,False,False,no_effect
8_59651_26,8,59651,26,97.9,False,False,no_effect
1_80_7,1,80,7,97.9,False,False,no_effect
7_28_8,7,28,8,97.9,False,False,no_effect
7_92_18,7,92,18,97.9,False,False,no_effect
8_10645_5,8,10645,5,97.9,False,False,no_effect
5_126_7,5,126,7,97.9,False,False,no_effect
6_72_29,6,72,29,97.9,False,False,no_effect
9_753_19,9,753,19,97.9,False,False,no_effect
10_116380_14,10,116380,14,97.9,False,False,no_effect
8_106766_18,8,106766,18,97.9,False,False,no_effect
6_48_4,6,48,4,97.9,False,False,no_effect
